source_region,country,service_name,provider_name,provider_color,care_type,residential_places,address,state,suburb,postcode,organisation_type,remoteness,acpr,lga,county,metro_area,source_dataset,source_status,cms_certification_number,legal_business_name,chain_name,overall_rating,average_residents_per_day,latitude,longitude,funding_2024_25
Australia,Australia,Aruma Lodge,Southern Cross Care (QLD) Ltd,#4fde5a,Residential,58,"Beryl Street, BROKEN HILL, NSW, 2880",NSW,BROKEN HILL,2880,Religious,Outer Regional Australia,Orana Far West,Broken Hill,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-31.9435749999999,141.485104,6747207.56
Australia,Australia,Byron Aged Care,St Andrew's Village Ballina Limited,#b34fde,Residential,41,"1 Butler Street, BYRON BAY, NSW, 2481",NSW,BYRON BAY,2481,Community Based,Inner Regional Australia,Far North Coast,Byron,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-28.641787,153.610798999999,4378555.03
Australia,Australia,Paling Court Residential Aged Care,Carrington Centennial Care Limited,#4f64de,Residential,140,"90 WEROMBI Road, GRASMERE, NSW, 2570",NSW,GRASMERE,2570,Charitable,Major Cities of Australia,South West Sydney,Camden,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-34.05666,150.674613999999,13337643.52
Australia,Australia,IBIS Care Miranda,IBIS (No 2) Pty Ltd,#4fde64,Residential,76,"2c Karimbla Road, MIRANDA, NSW, 2228",NSW,MIRANDA,2228,Private Incorporated Body,Major Cities of Australia,South East Sydney,Sutherland,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-34.039185,151.114191,8736889.3
Australia,Australia,Southern Cross Care St Michael's Residential Aged Care,Southern Cross Care (NSW & ACT) Limited,#d83156,Residential,73,"62 Centre Street, CASINO, NSW, 2470",NSW,CASINO,2470,Religious,Inner Regional Australia,Far North Coast,Richmond Valley,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-28.872301,153.043292,7925036.56
Australia,Australia,Anglicare Farrer Brown Court,Anglican Community Services,#acc125,Residential,139,"284 Castle Hill Road, CASTLE HILL, NSW, 2154",NSW,CASTLE HILL,2154,Religious,Major Cities of Australia,Northern Sydney,Hornsby,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-33.7314179999999,151.022591,15113595.76
Australia,Australia,Anglicare Warrina Residential Care,Anglican Community Services,#acc125,Residential,128,"2 Hilliard Drive, CASTLE HILL, NSW, 2154",NSW,CASTLE HILL,2154,Religious,Major Cities of Australia,Northern Sydney,Hornsby,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-33.728506,151.023425,12784331.08
Australia,Australia,Anglicare Brian King Gardens,Anglican Community Services,#acc125,Residential,204,"1 Hilliard Drive, CASTLE HILL, NSW, 2154",NSW,CASTLE HILL,2154,Religious,Major Cities of Australia,Northern Sydney,Hornsby,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-33.728506,151.023425,17555047.25
Australia,Australia,Cooinda Aged Care,Cooinda Coonabarabran Ltd,#c17725,Residential,78,"100 Cassilis Street, COONABARABRAN, NSW, 2357",NSW,COONABARABRAN,2357,Community Based,Outer Regional Australia,Orana Far West,Warrumbungle,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-31.274086,149.286024999999,8788143.41
Australia,Australia,Southern Cross Care Cootamundra Residential Aged Care,Southern Cross Care (NSW & ACT) Limited,#d83156,Residential,55,"Scott Avenue, COOTAMUNDRA, NSW, 2590",NSW,COOTAMUNDRA,2590,Religious,Inner Regional Australia,Riverina/Murray,Cootamundra-Gundagai,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-34.6342259999999,148.015514999999,6562588.97
Australia,Australia,BaptistCare Mid Richmond Centre - Coraki,BaptistCare NSW & ACT,#af25c1,Residential,49,"Surry Street, CORAKI, NSW, 2471",NSW,CORAKI,2471,Charitable,Inner Regional Australia,Far North Coast,Richmond Valley,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-28.994059,153.277964999999,6218348.27
Australia,Australia,Southern Cross Care Karinya Residential Aged Care,Southern Cross Care (NSW & ACT) Limited,#d83156,Residential,84,"125 Guy Street, COROWA, NSW, 2646",NSW,COROWA,2646,Religious,Inner Regional Australia,Riverina/Murray,Federation,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-35.988612,146.384183,8984383.03
Australia,Australia,Illawarra Diggers,Illawarra Diggers Aged and Community Care Limited,#319dd8,Residential,105,"8 Blundell Parade, CORRIMAL, NSW, 2518",NSW,CORRIMAL,2518,Community Based,Major Cities of Australia,Illawarra,Wollongong,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-34.3668029999999,150.893972999999,11596562.76
Australia,Australia,Calvary St Paul's Retirement Community,Calvary Aged Care Limited,#2570c1,Residential,40,"54 River Street, CUNDLETOWN, NSW, 2430",NSW,CUNDLETOWN,2430,Charitable,Inner Regional Australia,Mid North Coast,Mid-Coast,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-31.901758,152.518721999999,5162513.64
Australia,Australia,Southern Cross Care Orana Residential Aged Care,Southern Cross Care (NSW & ACT) Limited,#d83156,Residential,50,"59 Napier Street, DENILIQUIN, NSW, 2710",NSW,DENILIQUIN,2710,Religious,Inner Regional Australia,Riverina/Murray,Edward River,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-35.529691,144.960779,5721720.74
