source_region,country,service_name,provider_name,provider_color,care_type,residential_places,address,state,suburb,postcode,organisation_type,remoteness,acpr,lga,county,metro_area,source_dataset,source_status,cms_certification_number,legal_business_name,chain_name,overall_rating,average_residents_per_day,latitude,longitude,funding_2024_25
Australia,Australia,Calvary Sandhurst,Calvary Aged Care Limited,#2570c1,Residential,30,"20 Herbert Road, CARRUM DOWNS, VIC, 3201",VIC,CARRUM DOWNS,3201,Charitable,Major Cities of Australia,Southern Metro,Frankston,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-38.0908629999999,145.185863,3839059.15
Australia,Australia,Melville Grange Hostel,Wickro Pty Ltd,#b025c1,Residential,120,"80 Melville Park Drive, BERWICK, VIC, 3806",VIC,BERWICK,3806,Private Incorporated Body,Major Cities of Australia,Southern Metro,Casey,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-38.0389089999999,145.345885,13166191.5
Australia,Australia,Lakes Entrance Care Community,DPG Services Pty Ltd,#ccde4f,Residential,76,"35a Lakeview Drive, LAKES ENTRANCE, VIC, 3909",VIC,LAKES ENTRANCE,3909,Private Incorporated Body,Outer Regional Australia,Gippsland,East Gippsland,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.8703089999999,147.991881,9077299.73
Australia,Australia,Embracia in Reservoir,Embracia Victoria Pty Ltd,#c12593,Residential,105,"65a Glasgow Avenue, RESERVOIR, VIC, 3073",VIC,RESERVOIR,3073,Private Incorporated Body,Major Cities of Australia,Northern Metro,Darebin,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.703377,144.998938,10319757.28
Australia,Australia,Waverley Valley Care Community,DPG Services Pty Ltd,#ccde4f,Residential,170,"29-33 Chesterville Road, GLEN WAVERLEY, VIC, 3150",VIC,GLEN WAVERLEY,3150,Private Incorporated Body,Major Cities of Australia,Eastern Metro,Monash,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.869467,145.159051,18569319.82
Australia,Australia,Noble Gardens Residential Aged Care,Great Oaks Pty Ltd,#31d841,Residential,130,"55 Thomas Street, NOBLE PARK, VIC, 3174",VIC,NOBLE PARK,3174,Private Incorporated Body,Major Cities of Australia,Southern Metro,Greater Dandenong,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.9726349999999,145.17784,17000824.91
Australia,Australia,Estia Health Heidelberg West,Estia Investments Pty Ltd,#ba4fde,Residential,45,"413-415 Waterdale Road, HEIDELBERG WEST, VIC, 3081",VIC,HEIDELBERG WEST,3081,Private Incorporated Body,Major Cities of Australia,Northern Metro,Banyule,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.7480359999999,145.046458,5463956.16
Australia,Australia,Belmont Grange,Wickro Pty Ltd,#b025c1,Residential,112,"34 Church Street, GROVEDALE, VIC, 3216",VIC,GROVEDALE,3216,Private Incorporated Body,Major Cities of Australia,Barwon-South Western,Greater Geelong,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-38.1963659999999,144.338005,7381693.08
Australia,Australia,Arcare Hillside,Arcare Pty Ltd,#d83a31,Residential,70,"50 Community Hub, SYDENHAM, VIC, 3037",VIC,SYDENHAM,3037,Private Incorporated Body,Major Cities of Australia,Western Metro,Brimbank,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.701405,144.758398999999,7604431.45
Australia,Australia,Rangeview Private Nursing Home,Merakis Enterprises Pty Ltd,#c1258d,Residential,60,"15-17 Mason Street, WANGARATTA, VIC, 3677",VIC,WANGARATTA,3677,Private Incorporated Body,Inner Regional Australia,Hume,Wangaratta,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-36.375382,146.304170999999,6483578.15
Australia,Australia,Calvary Millward,Calvary Aged Care Limited,#2570c1,Residential,163,"31 Blackburn Road, DONCASTER EAST, VIC, 3109",VIC,DONCASTER EAST,3109,Charitable,Major Cities of Australia,Eastern Metro,Manningham,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.7990489999999,145.159764999999,13396555.19
Australia,Australia,Arcare Sydenham,Arcare Pty Ltd,#d83a31,Residential,120,"31-51 Trickey Avenue, SYDENHAM, VIC, 3037",VIC,SYDENHAM,3037,Private Incorporated Body,Major Cities of Australia,Western Metro,Brimbank,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.6970839999999,144.767234,13635010.09
Australia,Australia,Wintringham Gilgunya Village,WINTRINGHAM LIMITED,#31d83c,Residential,51,"23 Harding Street, COBURG, VIC, 3058",VIC,COBURG,3058,Charitable,Major Cities of Australia,Northern Metro,Merri-bek,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.745196,144.969244,7922700.93
Australia,Australia,Inverloch Coast Care Community,DPG Services Pty Ltd,#ccde4f,Residential,110,"119 Cashin Street, INVERLOCH, VIC, 3996",VIC,INVERLOCH,3996,Private Incorporated Body,Inner Regional Australia,Gippsland,Bass Coast,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-38.628498,145.716852999999,12657492.49
Australia,Australia,Villa Maria Catholic Homes Ashwood Aged Care Residence,Villa Maria Catholic Homes Limited,#5d4fde,Residential,90,"54 Queens Parade, ASHWOOD, VIC, 3147",VIC,ASHWOOD,3147,Charitable,Major Cities of Australia,Eastern Metro,Monash,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.870454,145.095195999999,8336356.47
Australia,Australia,Estia Health Keysborough,Estia Investments Pty Ltd,#ba4fde,Residential,62,"15 Stanley Road, KEYSBOROUGH, VIC, 3173",VIC,KEYSBOROUGH,3173,Private Incorporated Body,Major Cities of Australia,Southern Metro,Greater Dandenong,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.9951799999999,145.16927,6968943.2
Australia,Australia,Bolton Clarke Charlesbrook,RSL Care RDNS Limited,#31d8b2,Residential,71,"1-11 Innisfallen Avenue, TEMPLESTOWE, VIC, 3106",VIC,TEMPLESTOWE,3106,Charitable,Major Cities of Australia,Eastern Metro,Manningham,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.7538389999999,145.151914,7462295.81
Australia,Australia,Regis Sandringham,Regis Aged Care Pty Ltd,#d831c0,Residential,58,"37 Bay Road, SANDRINGHAM, VIC, 3191",VIC,SANDRINGHAM,3191,Private Incorporated Body,Major Cities of Australia,Southern Metro,Bayside (Vic.),,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.9518929999999,145.006485999999,5752146.24
Australia,Australia,MiCare Margriet Manor,MiCare Ltd,#25c1a6,Residential,45,"722 Mt Dandenong Road, KILSYTH, VIC, 3137",VIC,KILSYTH,3137,Community Based,Major Cities of Australia,Eastern Metro,Yarra Ranges,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.807706,145.325997999999,4683580.39
Australia,Australia,Calvary Rosanna Views,Calvary Aged Care Limited,#2570c1,Residential,96,"269-271 Lower Plenty Road, ROSANNA, VIC, 3084",VIC,ROSANNA,3084,Charitable,Major Cities of Australia,Northern Metro,Banyule,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.736361,145.075337999999,6717041.06
Australia,Australia,Keilor East Manor Care Community,DPG Services Pty Ltd,#ccde4f,Residential,125,"188A Sterling Drive, KEILOR EAST, VIC, 3033",VIC,KEILOR EAST,3033,Private Incorporated Body,Major Cities of Australia,Western Metro,Moonee Valley,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.744664,144.849695999999,6920927.68
Australia,Australia,HammondCare - Caulfield Village,HammondCare,#4fdebc,Residential,81,"260 Kooyong Road, CAULFIELD, VIC, 3162",VIC,CAULFIELD,3162,Charitable,Major Cities of Australia,Southern Metro,Glen Eira,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.884303,145.01713,9144968.85
Australia,Australia,Bolton Clarke Trevi Court,RSL Care RDNS Limited,#31d8b2,Residential,54,"95 Bulla Road, ESSENDON, VIC, 3040",VIC,ESSENDON,3040,Charitable,Major Cities of Australia,Western Metro,Moonee Valley,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.744059,144.909698999999,6067320.43
Australia,Australia,Bolton Clarke Claremont Terrace,RSL Care RDNS Limited,#31d8b2,Residential,159,"231-253 McKinnon Road, MCKINNON, VIC, 3204",VIC,MCKINNON,3204,Charitable,Major Cities of Australia,Southern Metro,Glen Eira,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.911341,145.041977,15059818.88
Australia,Australia,Bolton Clarke Highwood Court,RSL Care RDNS Limited,#31d8b2,Residential,79,"359 Warrigal Road, BURWOOD, VIC, 3125",VIC,BURWOOD,3125,Charitable,Major Cities of Australia,Eastern Metro,Whitehorse,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.8530939999999,145.095371,7830214.7
Australia,Australia,Homestead Estate Residential Aged Care,The Leaper Corporation Pty Ltd,#72c125,Residential,260,"9-11 Homestead Avenue, WALLINGTON, VIC, 3222",VIC,WALLINGTON,3222,Private Incorporated Body,Inner Regional Australia,Barwon-South Western,Greater Geelong,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-38.22162,144.536079999999,20082062.07
Australia,Australia,Bolton Clarke Medina Manor,RSL Care RDNS Limited,#31d8b2,Residential,44,"200a Smith Street, THORNBURY, VIC, 3071",VIC,THORNBURY,3071,Charitable,Major Cities of Australia,Northern Metro,Darebin,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.755712,144.983785,5612296.94
Australia,Australia,Estia Health Melton South,Estia Investments Pty Ltd,#ba4fde,Residential,103,"34-42 Brooklyn Road, MELTON SOUTH, VIC, 3338",VIC,MELTON SOUTH,3338,Private Incorporated Body,Major Cities of Australia,Western Metro,Melton,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.702525,144.572616,12741937.63
Australia,Australia,Belvedere Aged Care,Belvedere Aged Care Pty Ltd,#65de4f,Residential,60,"41-43 Fintonia Road, NOBLE PARK, VIC, 3174",VIC,NOBLE PARK,3174,Private Incorporated Body,Major Cities of Australia,Southern Metro,Greater Dandenong,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.9619679999999,145.185759999999,6731837.66
Australia,Australia,Baptcare - Westhaven Community,Baptcare Ltd,#d86431,Residential,127,"50 Pickett Street, FOOTSCRAY, VIC, 3011",VIC,FOOTSCRAY,3011,Religious,Major Cities of Australia,Western Metro,Maribyrnong,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.801212,144.894414,12054834.39
Australia,Australia,Abberfield Aged Care Facility,Sandra Pty Ltd,#c18325,Residential,140,"376-380 Bluff Road, SANDRINGHAM, VIC, 3191",VIC,SANDRINGHAM,3191,Private Incorporated Body,Major Cities of Australia,Southern Metro,Bayside (Vic.),,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.948095,145.022067999999,15218630.57
Australia,Australia,Traralgon Aged Care,Aged Care Group Pty Ltd,#c13925,Residential,60,"69 Liddiard Road, TRARALGON, VIC, 3844",VIC,TRARALGON,3844,Private Incorporated Body,Inner Regional Australia,Gippsland,Latrobe (Vic.),,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-38.205044,146.550389999999,6845525.26
Australia,Australia,Calvary Bayview,Calvary Aged Care Limited,#2570c1,Residential,90,"1295 Frankston-Dandenong Road, CARRUM DOWNS, VIC, 3201",VIC,CARRUM DOWNS,3201,Charitable,Major Cities of Australia,Southern Metro,Frankston,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-38.102156,145.17097,11134181.2
Australia,Australia,Glen Waverley Nursing Home,Menarock Aged Care Services (Victoria) Pty Ltd,#d8ad31,Residential,49,"982 High Street Road, GLEN WAVERLEY, VIC, 3150",VIC,GLEN WAVERLEY,3150,Private Incorporated Body,Major Cities of Australia,Eastern Metro,Monash,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.877076,145.188153,4347577.07
Australia,Australia,Kardinia Parkside Care Community,DPG Services Pty Ltd,#ccde4f,Residential,104,"299 Latrobe Terrace, GEELONG, VIC, 3220",VIC,GEELONG,3220,Private Incorporated Body,Major Cities of Australia,Barwon-South Western,Greater Geelong,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-38.152132,144.352072999999,10261490.43
Australia,Australia,Grace Villa Aged Care,Samkay Health Pty Ltd,#2528c1,Residential,91,"4/ 25-33 Grimshaw Street, GREENSBOROUGH, VIC, 3088",VIC,GREENSBOROUGH,3088,Private Incorporated Body,Major Cities of Australia,Northern Metro,Banyule,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.7051439999999,145.105975,5528669.44
Australia,Australia,Baptcare Peninsula View Community,Baptcare Ltd,#d86431,Residential,106,"24-28 Moorooduc Highway, FRANKSTON SOUTH, VIC, 3199",VIC,FRANKSTON SOUTH,3199,Religious,Major Cities of Australia,Southern Metro,Frankston,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-38.1852159999999,145.140331,11388986.97
Australia,Australia,Deloraine Private Nursing Home,Ejaz Nominees Pty Ltd,#25c18c,Residential,75,"18 Adeline Street, GREENSBOROUGH, VIC, 3088",VIC,GREENSBOROUGH,3088,Private Incorporated Body,Major Cities of Australia,Northern Metro,Banyule,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.7072379999999,145.094075,5210904.26
Australia,Australia,Arcare Knox,Arcare Pty Ltd,#d83a31,Residential,147,"478 Burwood Highway, WANTIRNA SOUTH, VIC, 3152",VIC,WANTIRNA SOUTH,3152,Private Incorporated Body,Major Cities of Australia,Eastern Metro,Knox,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.8656459999999,145.224791,15330409.37
Australia,Australia,Estia Health Victoria Heights,Estia Investments Pty Ltd,#ba4fde,Residential,70,"41-45 Victoria Street, IRONBARK, VIC, 3550",VIC,IRONBARK,3550,Private Incorporated Body,Inner Regional Australia,Loddon-Mallee,Greater Bendigo,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-36.7514979999999,144.265906999999,7996142.64
Australia,Australia,Warrandyte Gardens Care Community,DPG Services Pty Ltd,#ccde4f,Residential,112,"205 Warrandyte Road, RINGWOOD NORTH, VIC, 3134",VIC,RINGWOOD NORTH,3134,Private Incorporated Body,Major Cities of Australia,Eastern Metro,Maroondah,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.792197,145.235369999999,11727355.43
Australia,Australia,Ferndale Gardens Aged Care Services,Wickro Pty Ltd,#b025c1,Residential,121,"229-239 Bayswater Road, BAYSWATER NORTH, VIC, 3153",VIC,BAYSWATER NORTH,3153,Private Incorporated Body,Major Cities of Australia,Eastern Metro,Maroondah,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.823264,145.269184999999,12237680.23
Australia,Australia,Macleod Roshana Care,Burswood Care Pty Ltd,#de4f9a,Residential,63,"120 Somers Avenue, MACLEOD, VIC, 3085",VIC,MACLEOD,3085,Private Incorporated Body,Major Cities of Australia,Northern Metro,Banyule,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.7188009999999,145.076236999999,4968742.86
Australia,Australia,Hope Aged Care Brunswick,Sixth Eastway Pty Ltd,#c12527,Residential,110,"34 Lux Way, BRUNSWICK, VIC, 3056",VIC,BRUNSWICK,3056,Private Incorporated Body,Major Cities of Australia,Northern Metro,Merri-bek,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.7655749999999,144.959623999999,11574092.3
Australia,Australia,Estia Health Oakleigh East,Estia Investments Pty Ltd,#ba4fde,Residential,110,"23a Elizabeth Street, OAKLEIGH, VIC, 3166",VIC,OAKLEIGH,3166,Private Incorporated Body,Major Cities of Australia,Eastern Metro,Monash,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.8983819999999,145.109746,12313372.67
Australia,Australia,Calvary Lower Plenty Garden Views,Calvary Aged Care Limited,#2570c1,Residential,90,"390 Main Road, LOWER PLENTY, VIC, 3093",VIC,LOWER PLENTY,3093,Charitable,Major Cities of Australia,Northern Metro,Banyule,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.7305509999999,145.130246,8014738.5
Australia,Australia,Jewish Care (VIC) Inc Residential Homes Carnegie,Jewish Care (Victoria) Inc,#2542c1,Residential,120,"1 Wahgoo Road, CARNEGIE, VIC, 3163",VIC,CARNEGIE,3163,Religious,Major Cities of Australia,Southern Metro,Glen Eira,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.8950979999999,145.063468999999,13539794.72
Australia,Australia,Chelsea Parkside Care Community,DPG Services Pty Ltd,#ccde4f,Residential,73,"87 Argyle Avenue, CHELSEA, VIC, 3196",VIC,CHELSEA,3196,Private Incorporated Body,Major Cities of Australia,Southern Metro,Kingston (Vic.),,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-38.0522449999999,145.129048,7138276.11
Australia,Australia,Preston Hilltop Care Community,DPG Services Pty Ltd,#ccde4f,Residential,94,"10 Hotham Street, PRESTON, VIC, 3072",VIC,PRESTON,3072,Private Incorporated Body,Major Cities of Australia,Northern Metro,Darebin,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.751694,145.006795,9323184.07
Australia,Australia,Calvary Roccoco,Calvary Aged Care Limited,#2570c1,Residential,77,"355-357 Wilsons Road, ST ALBANS PARK, VIC, 3219",VIC,ST ALBANS PARK,3219,Charitable,Major Cities of Australia,Barwon-South Western,Greater Geelong,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-38.19077,144.387903999999,6232377.83
Australia,Australia,Rosehill Aged Care Facility,Menarock Aged Care Services (Victoria) Pty Ltd,#d8ad31,Residential,60,"12 Maxflo Court, HIGHETT, VIC, 3190",VIC,HIGHETT,3190,Private Incorporated Body,Major Cities of Australia,Southern Metro,Bayside (Vic.),,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.9529289999999,145.031902,4638660.54
Australia,Australia,Arcare Brighton,Arcare Pty Ltd,#d83a31,Residential,61,"58 Cochrane Street, BRIGHTON, VIC, 3186",VIC,BRIGHTON,3186,Private Incorporated Body,Major Cities of Australia,Southern Metro,Bayside (Vic.),,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.900376,144.999024999999,5728526.13
Australia,Australia,Carrum Downs Private Nursing Home,Merakis Enterprises Pty Ltd,#c1258d,Residential,60,"1135 Frankston-Dandenong Road, CARRUM DOWNS, VIC, 3201",VIC,CARRUM DOWNS,3201,Private Incorporated Body,Major Cities of Australia,Southern Metro,Frankston,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-38.091655,145.180250999999,6515794.25
Australia,Australia,Luson Eden Park,Luson Aged Care Pty Ltd,#d9de4f,Residential,90,"31-33 Thompson Street, WHITTINGTON, VIC, 3219",VIC,WHITTINGTON,3219,Charitable,Major Cities of Australia,Barwon-South Western,Greater Geelong,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-38.1776309999999,144.387397999999,9852549.66
Australia,Australia,Clovelly Cottage,Autumn Care Pty Ltd,#31d8b7,Residential,151,"16 Stewart Street, BORONIA, VIC, 3155",VIC,BORONIA,3155,Private Incorporated Body,Major Cities of Australia,Eastern Metro,Knox,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.8522559999999,145.289188999999,14970126.15
Australia,Australia,Bupa Coburg,Bupa Aged Care Australia Pty Ltd,#31b9d8,Residential,75,"24 Sutherland Street, COBURG, VIC, 3058",VIC,COBURG,3058,Private Incorporated Body,Major Cities of Australia,Northern Metro,Merri-bek,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.738799,144.961259,8709690.86
Australia,Australia,Trinity Manor,Trinity Care Pty Ltd,#d831cf,Residential,83,"8-14 Pretoria Street, BALWYN, VIC, 3103",VIC,BALWYN,3103,Private Incorporated Body,Major Cities of Australia,Eastern Metro,Boroondara,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.8098949999999,145.065737,6791130.27
Australia,Australia,Centennial Lodge,Royal Freemasons Ltd,#6a4fde,Residential,75,"13 Lewis Road, WANTIRNA SOUTH, VIC, 3152",VIC,WANTIRNA SOUTH,3152,Charitable,Major Cities of Australia,Eastern Metro,Knox,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.857818,145.253107999999,7761884.34
Australia,Australia,Craigcare Pascoe Vale,Glenn-Craig Villages Pty Ltd,#4fa7de,Residential,140,"1 A Virginia Street, PASCOE VALE, VIC, 3044",VIC,PASCOE VALE,3044,Private Incorporated Body,Major Cities of Australia,Northern Metro,Merri-bek,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.7154779999999,144.943575,14618723.57
Australia,Australia,Uniting AgeWell Manor Lakes,Uniting Agewell Limited,#67d831,Residential,84,"15 Buffalo Crescent, WYNDHAM VALE, VIC, 3024",VIC,WYNDHAM VALE,3024,Religious,Major Cities of Australia,Western Metro,Wyndham,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.873775,144.607152,7067876.57
Australia,Australia,Mercy Place Rice Village,Rice Village Ltd,#c15c25,Residential,92,"7 Moylan Loop, MARSHALL, VIC, 3216",VIC,MARSHALL,3216,Religious,Major Cities of Australia,Barwon-South Western,Greater Geelong,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-38.197777,144.360300999999,8796002.51
Australia,Australia,Calvary St Judes,Calvary Aged Care Limited,#2570c1,Residential,90,"381-403 Narre Warren North Road, NARRE WARREN NORTH, VIC, 3804",VIC,NARRE WARREN NORTH,3804,Charitable,Major Cities of Australia,Southern Metro,Casey,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.990181,145.313720999999,8489891.07
Australia,Australia,Bupa Woodend,Bupa Aged Care Australia Pty Ltd,#31b9d8,Residential,113,"2 Sullivans Road, WOODEND, VIC, 3442",VIC,WOODEND,3442,Private Incorporated Body,Inner Regional Australia,Loddon-Mallee,Macedon Ranges,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.363039,144.535483999999,12022459.76
Australia,Australia,Della Dale Aged Care,NDN Care Services Pty Ltd,#de4f5b,Residential,30,"17 Derwent Street, RINGWOOD, VIC, 3134",VIC,RINGWOOD,3134,Private Incorporated Body,Major Cities of Australia,Eastern Metro,Maroondah,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.8036079999999,145.2289,2773339.81
Australia,Australia,Arcare Malvern East,Arcare Pty Ltd,#d83a31,Residential,94,"1997-2005 Malvern Road, MALVERN EAST, VIC, 3145",VIC,MALVERN EAST,3145,Private Incorporated Body,Major Cities of Australia,Southern Metro,Stonnington,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.871841,145.063936,9059301.59
Australia,Australia,Estia Health Grovedale,Estia Investments Pty Ltd,#ba4fde,Residential,120,"6A Perrett Street, GROVEDALE, VIC, 3216",VIC,GROVEDALE,3216,Private Incorporated Body,Major Cities of Australia,Barwon-South Western,Greater Geelong,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-38.20774,144.34135,13299966.22
Australia,Australia,Uniting AgeWell Preston,Uniting Agewell Limited,#67d831,Residential,104,"78 BRUCE Street, PRESTON, VIC, 3072",VIC,PRESTON,3072,Religious,Major Cities of Australia,Northern Metro,Darebin,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.741354,144.992401999999,11876916.06
Australia,Australia,Royal Freemasons Springtime,Royal Freemasons Ltd,#6a4fde,Residential,50,"41 Manchester Drive, SYDENHAM, VIC, 3037",VIC,SYDENHAM,3037,Charitable,Major Cities of Australia,Western Metro,Brimbank,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.6847989999999,144.759847,6366838.69
Australia,Australia,Kew Gardens Aged Care,Australian Aged Care Group Pty Ltd,#4fde92,Residential,140,"22-24 Gellibrand Street, KEW, VIC, 3101",VIC,KEW,3101,Private Incorporated Body,Major Cities of Australia,Eastern Metro,Boroondara,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.8082399999999,145.032671999999,7208133.52
Australia,Australia,Estia Health Epping VIC,Estia Investments Pty Ltd,#ba4fde,Residential,70,"30 Epping Road, EPPING, VIC, 3076",VIC,EPPING,3076,Private Incorporated Body,Major Cities of Australia,Northern Metro,Whittlesea,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.635063,145.027198999999,8011040.4
Australia,Australia,Estia Health Wattle Glen,Estia Investments Pty Ltd,#ba4fde,Residential,98,"45 Silvan Road, WATTLE GLEN, VIC, 3096",VIC,WATTLE GLEN,3096,Private Incorporated Body,Major Cities of Australia,Northern Metro,Nillumbik,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.6541479999999,145.194381999999,9820721.14
Australia,Australia,Craigcare Berwick,Glenn-Craig Villages Pty Ltd,#4fa7de,Residential,146,"21 Parkhill Drive, BERWICK, VIC, 3806",VIC,BERWICK,3806,Private Incorporated Body,Major Cities of Australia,Southern Metro,Casey,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-38.0279159999999,145.327727,12732491.06
Australia,Australia,Uniting AgeWell Noble Park,Uniting Agewell Limited,#67d831,Residential,68,"1312 Heatherton Road, NOBLE PARK, VIC, 3174",VIC,NOBLE PARK,3174,Religious,Major Cities of Australia,Southern Metro,Greater Dandenong,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.9672339999999,145.190573999999,7039783.11
Australia,Australia,mecwacare Annie's Court,MECWA,#25c192,Residential,60,"3905 Frankston Flinders Road, SHOREHAM, VIC, 3916",VIC,SHOREHAM,3916,Community Based,Inner Regional Australia,Southern Metro,Mornington Peninsula,,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-38.416372,145.050815,4859160.01
Australia,Australia,Brighton Shore Care Community,DPG Services Pty Ltd,#ccde4f,Residential,35,"10 Marion Street, BRIGHTON, VIC, 3186",VIC,BRIGHTON,3186,Private Incorporated Body,Major Cities of Australia,Southern Metro,Bayside (Vic.),,,GEN Aged Care Service List: 30 June 2025,Official service list current as at 30 June 2025,,,,,,-37.907541,145.002939999999,2681731.2
