column,type,label,description
facility_type,text,,
facility_number,numeric,,
facility_name,text,,
licensee,text,,
facility_administrator,text,,
facility_telephone_number,text,,
facility_address,text,,
facility_city,text,,
facility_state,text,,
facility_zip,numeric,,
county_name,text,,
regional_office,numeric,,
facility_capacity,numeric,,
facility_status,text,,
license_first_date,text,,
closed_date,text,,
file_date,numeric,,
